Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2022-2023,Brandon Ingram,West,"Mar 27, 2023",New Orleans Pelicans,SF,6-8,190,25,2016,6
2022-2023,Joel Embiid,East,"Mar 20, 2023",Philadelphia Sixers,C,7-0,280,28,2014,8
2022-2023,Domantas Sabonis,West,"Mar 20, 2023",Sacramento Kings,PF,6-10,240,26,2016,6
2022-2023,Joel Embiid,East,"Mar 13, 2023",Philadelphia Sixers,C,7-0,280,28,2014,8
2022-2023,Domantas Sabonis,West,"Mar 13, 2023",Sacramento Kings,PF,6-10,240,26,2016,6
2022-2023,Julius Randle,East,"Mar 6, 2023",New York Knicks,PF,6-9,250,28,2014,8
2022-2023,Devin Booker,West,"Mar 6, 2023",Phoenix Suns,SG,6-6,206,26,2015,7
2022-2023,Derrick White,East,"Feb 13, 2023",Boston Celtics,G,6-4,190,28,2017,5
2022-2023,Shai Gilgeous-Alexander,West,"Feb 13, 2023",Oklahoma City Thunder,PG,6-6,195,24,2018,4
2022-2023,Giannis Antetokounmpo,East,"Feb 6, 2023",Milwaukee Bucks,F,6-11,243,28,2013,9
2022-2023,Damian Lillard,West,"Feb 6, 2023",Portland Trail Blazers,G,6-2,195,32,2012,10
2022-2023,Giannis Antetokounmpo,East,"Jan 30, 2023",Milwaukee Bucks,F,6-11,243,28,2013,9
2022-2023,Damian Lillard,West,"Jan 30, 2023",Portland Trail Blazers,G,6-2,195,32,2012,10
2022-2023,Jrue Holiday,East,"Jan 23, 2023",Milwaukee Bucks,G,6-4,205,32,2009,13
2022-2023,LeBron James,West,"Jan 23, 2023",Los Angeles Lakers,F,6-9,250,38,2003,19
2022-2023,Jalen Brunson,East,"Jan 16, 2023",New York Knicks,PG,6-2,190,26,2018,4
2022-2023,Domantas Sabonis,West,"Jan 16, 2023",Sacramento Kings,PF,6-10,240,26,2016,6
2022-2023,Donovan Mitchell,East,"Jan 9, 2023",Cleveland Cavaliers,SG,6-3,215,26,2017,5
2022-2023,LeBron James,West,"Jan 9, 2023",Los Angeles Lakers,F,6-9,250,38,2003,19
2022-2023,Kristaps Porzingis,East,"Jan 2, 2023",Washington Wizards,FC,7-2,240,27,2015,7
2022-2023,Luka Doncic,West,"Jan 2, 2023",Dallas Mavericks,SF,6-6,230,24,2018,4
2022-2023,Pascal Siakam,East,"Dec 26, 2022",Toronto Raptors,F,6-8,245,28,2016,6
2022-2023,Luka Doncic,West,"Dec 26, 2022",Dallas Mavericks,SF,6-6,230,24,2018,4
2022-2023,Donovan Mitchell,East,"Dec 19, 2022",Cleveland Cavaliers,SG,6-3,215,26,2017,5
2022-2023,Nikola Jokic,West,"Dec 19, 2022",Denver Nuggets,C,6-11,284,28,2014,7
2022-2023,Joel Embiid,East,"Dec 12, 2022",Philadelphia Sixers,C,7-0,280,28,2014,8
2022-2023,Zion Williamson,West,"Dec 12, 2022",New Orleans Pelicans,PF,6-6,284,22,2019,3
2022-2023,Kevin Durant,East,"Dec 5, 2022",Brooklyn Nets,SF,6-11,240,34,2007,15
2022-2023,Anthony Davis,West,"Dec 5, 2022",Los Angeles Lakers,PF,6-10,253,29,2012,10
2022-2023,Giannis Antetokounmpo,East,"Nov 28, 2022",Milwaukee Bucks,F,6-11,243,28,2013,9
2022-2023,Deandre Ayton,West,"Nov 28, 2022",Phoenix Suns,C,7-0,252,24,2018,4
2022-2023,Tyrese Haliburton,East,"Nov 21, 2022",Indiana Pacers,PG,6-5,185,23,2020,2
2022-2023,De'Aaron Fox,West,"Nov 21, 2022",Sacramento Kings,PG,6-3,185,25,2017,5
2022-2023,Joel Embiid,East,"Nov 14, 2022",Philadelphia Sixers,C,7-0,280,28,2014,8
2022-2023,Stephen Curry,West,"Nov 14, 2022",Golden State Warriors,G,6-2,185,34,2009,13
2022-2023,Kevin Durant,East,"Nov 7, 2022",Brooklyn Nets,SF,6-11,240,34,2007,15
2022-2023,Paul George,West,"Nov 7, 2022",Los Angeles Clippers,GF,6-8,220,32,2010,12
2022-2023,Giannis Antetokounmpo,East,"Oct 31, 2022",Milwaukee Bucks,F,6-11,243,28,2013,9
2022-2023,Shai Gilgeous-Alexander,West,"Oct 31, 2022",Oklahoma City Thunder,PG,6-6,195,24,2018,4
2022-2023,Jayson Tatum,East,"Oct 24, 2022",Boston Celtics,SF,6-8,210,24,2017,5
2022-2023,Damian Lillard,West,"Oct 24, 2022",Portland Trail Blazers,G,6-2,195,32,2012,10
2021-2022,Joel Embiid,East,"Apr 11, 2022",Philadelphia Sixers,C,7-0,280,27,2014,7
2021-2022,Luka Doncic,West,"Apr 11, 2022",Dallas Mavericks,SF,6-6,230,23,2018,3
2021-2022,Trae Young,East,"Apr 4, 2022",Atlanta Hawks,PG,6-1,164,23,2018,3
2021-2022,Nikola Jokic,West,"Apr 4, 2022",Denver Nuggets,C,6-11,284,27,2014,6
2021-2022,Jayson Tatum,East,"Mar 28, 2022",Boston Celtics,SF,6-8,210,23,2017,4
2021-2022,Devin Booker,West,"Mar 28, 2022",Phoenix Suns,SG,6-6,206,25,2015,6
2021-2022,Jayson Tatum,East,"Mar 21, 2022",Boston Celtics,SF,6-8,210,23,2017,4
2021-2022,Karl-Anthony Towns,West,"Mar 21, 2022",Minnesota Timberwolves,C,7-0,248,26,2015,6
2021-2022,Kevin Durant,East,"Mar 14, 2022",Brooklyn Nets,SF,6-11,240,33,2007,14
2021-2022,Luka Doncic,West,"Mar 14, 2022",Dallas Mavericks,SF,6-6,230,23,2018,3
2021-2022,Jayson Tatum,East,"Mar 7, 2022",Boston Celtics,SF,6-8,210,23,2017,4
2021-2022,Karl-Anthony Towns,West,"Mar 7, 2022",Minnesota Timberwolves,C,7-0,248,26,2015,6
2021-2022,DeMar DeRozan,East,"Feb 14, 2022",Chicago Bulls,GF,6-6,220,32,2009,12
2021-2022,Luka Doncic,West,"Feb 14, 2022",Dallas Mavericks,SF,6-6,230,23,2018,3
2021-2022,Pascal Siakam,East,"Feb 7, 2022",Toronto Raptors,F,6-8,245,27,2016,5
2021-2022,Brandon Ingram,West,"Feb 7, 2022",New Orleans Pelicans,SF,6-8,190,24,2016,5
2021-2022,Joel Embiid,East,"Jan 31, 2022",Philadelphia Sixers,C,7-0,280,27,2014,7
2021-2022,Chris Paul,West,"Jan 31, 2022",Phoenix Suns,PG,6-0,175,36,2005,16
2021-2022,Trae Young,East,"Jan 24, 2022",Atlanta Hawks,PG,6-1,164,23,2018,3
2021-2022,Nikola Jokic,West,"Jan 24, 2022",Denver Nuggets,C,6-11,284,27,2014,6
2021-2022,Darius Garland,East,"Jan 17, 2022",Cleveland Cavaliers,G,6-1,192,22,2019,2
2021-2022,Devin Booker,West,"Jan 17, 2022",Phoenix Suns,SG,6-6,206,25,2015,6
2021-2022,Fred VanVleet,East,"Jan 10, 2022",Toronto Raptors,G,6-0,197,28,2016,5
2021-2022,Ja Morant,West,"Jan 10, 2022",Memphis Grizzlies,G,6-2,174,22,2019,2
2021-2022,DeMar DeRozan,East,"Jan 3, 2022",Chicago Bulls,GF,6-6,220,32,2009,12
2021-2022,Ja Morant,West,"Jan 3, 2022",Memphis Grizzlies,G,6-2,174,22,2019,2
2021-2022,Kemba Walker,East,"Dec 27, 2021",New York Knicks,G,6-0,184,31,2011,10
2021-2022,Shai Gilgeous-Alexander,West,"Dec 27, 2021",Oklahoma City Thunder,PG,6-6,195,23,2018,3
2021-2022,Jayson Tatum,East,"Dec 20, 2021",Boston Celtics,SF,6-8,210,23,2017,4
2021-2022,Karl-Anthony Towns,West,"Dec 20, 2021",Minnesota Timberwolves,C,7-0,248,26,2015,6
2021-2022,Domantas Sabonis,East,"Dec 13, 2021",Indiana Pacers,PF,6-10,240,25,2016,5
2021-2022,LeBron James,West,"Dec 13, 2021",Los Angeles Lakers,F,6-9,250,37,2003,18
2021-2022,DeMar DeRozan,East,"Dec 6, 2021",Chicago Bulls,GF,6-6,220,32,2009,12
2021-2022,Donovan Mitchell,West,"Dec 6, 2021",Utah Jazz,SG,6-3,215,25,2017,4
2021-2022,Trae Young,East,"Nov 29, 2021",Atlanta Hawks,PG,6-1,164,23,2018,3
2021-2022,Devin Booker,West,"Nov 29, 2021",Phoenix Suns,SG,6-6,206,25,2015,6
2021-2022,Giannis Antetokounmpo,East,"Nov 22, 2021",Milwaukee Bucks,F,6-11,243,27,2013,8
2021-2022,Damian Lillard,West,"Nov 22, 2021",Portland Trail Blazers,G,6-2,195,31,2012,9
2021-2022,Kevin Durant,East,"Nov 15, 2021",Brooklyn Nets,SF,6-11,240,33,2007,14
2021-2022,Stephen Curry,West,"Nov 15, 2021",Golden State Warriors,G,6-2,185,33,2009,12
2021-2022,Jarrett Allen,East,"Nov 8, 2021",Cleveland Cavaliers,C,6-9,243,23,2017,4
2021-2022,Paul George,West,"Nov 8, 2021",Los Angeles Clippers,GF,6-8,220,31,2010,11
2021-2022,Jimmy Butler,East,"Nov 1, 2021",Miami Heat,GF,6-7,230,32,2011,10
2021-2022,Rudy Gobert,West,"Nov 1, 2021",Utah Jazz,C,7-1,258,29,2013,8
2021-2022,Miles Bridges,East,"Oct 25, 2021",Charlotte Hornets,SF,6-7,225,23,2018,3
2021-2022,Stephen Curry,West,"Oct 25, 2021",Golden State Warriors,G,6-2,185,33,2009,12
2020-2021,Trae Young,East,"May 17, 2021",Atlanta Hawks,PG,6-1,164,22,2018,2
2020-2021,Damian Lillard,West,"May 17, 2021",Portland Trail Blazers,G,6-2,195,30,2012,8
2020-2021,Russell Westbrook,East,"May 10, 2021",Washington Wizards,G,6-4,200,32,2008,12
