Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2018-2019,Victor Oladipo,East,"Nov 5, 2018",Indiana Pacers,G,6-3,213,26,2013,5
2018-2019,Russell Westbrook,West,"Nov 5, 2018",Oklahoma City Thunder,G,6-4,200,30,2008,10
2018-2019,Giannis Antetokounmpo,East,"Oct 29, 2018",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,Stephen Curry,West,"Oct 29, 2018",Golden State Warriors,G,6-2,185,30,2009,9
2018-2019,Kemba Walker,East,"Oct 22, 2018",Charlotte Hornets,G,6-0,184,28,2011,7
2018-2019,Nikola Jokic,West,"Oct 22, 2018",Denver Nuggets,C,6-11,284,24,2014,3
2017-2018,Ben Simmons,East,"Apr 9, 2018",Philadelphia Sixers,PF,6-10,240,21,2016,1
2017-2018,Nikola Jokic,West,"Apr 9, 2018",Denver Nuggets,C,6-11,284,23,2014,2
2017-2018,Victor Oladipo,East,"Apr 2, 2018",Indiana Pacers,G,6-3,213,25,2013,4
2017-2018,Damian Lillard,West,"Apr 2, 2018",Portland Trail Blazers,G,6-2,195,27,2012,5
2017-2018,LeBron James,East,"Mar 26, 2018",Cleveland Cavaliers,F,6-9,250,33,2003,14
2017-2018,LaMarcus Aldridge,West,"Mar 26, 2018",San Antonio Spurs,FC,6-11,265,32,2006,11
2017-2018,LeBron James,East,"Mar 19, 2018",Cleveland Cavaliers,F,6-9,250,33,2003,14
2017-2018,Russell Westbrook,West,"Mar 19, 2018",Oklahoma City Thunder,G,6-4,200,29,2008,9
2017-2018,DeMar DeRozan,East,"Mar 12, 2018",Toronto Raptors,GF,6-6,220,28,2009,8
2017-2018,Damian Lillard,West,"Mar 12, 2018",Portland Trail Blazers,G,6-2,195,27,2012,5
2017-2018,DeMar DeRozan,East,"Mar 5, 2018",Toronto Raptors,GF,6-6,220,28,2009,8
2017-2018,Anthony Davis,West,"Mar 5, 2018",New Orleans Pelicans,PF,6-10,253,24,2012,5
2017-2018,Joel Embiid,East,"Feb 12, 2018",Philadelphia Sixers,C,7-0,280,23,2014,3
2017-2018,James Harden,West,"Feb 12, 2018",Houston Rockets,SG,6-5,220,28,2009,8
2017-2018,Andre Drummond,East,"Feb 5, 2018",Detroit Pistons,C,6-11,279,24,2012,5
2017-2018,James Harden,West,"Feb 5, 2018",Houston Rockets,SG,6-5,220,28,2009,8
2017-2018,Khris Middleton,East,"Jan 29, 2018",Milwaukee Bucks,SF,6-7,222,26,2012,5
2017-2018,Stephen Curry,West,"Jan 29, 2018",Golden State Warriors,G,6-2,185,29,2009,8
2017-2018,Joel Embiid,East,"Jan 22, 2018",Philadelphia Sixers,C,7-0,280,23,2014,3
2017-2018,Damian Lillard,West,"Jan 22, 2018",Portland Trail Blazers,G,6-2,195,27,2012,5
2017-2018,Goran Dragic,East,"Jan 15, 2018",Miami Heat,G,6-4,190,31,2008,9
2017-2018,Lou Williams,West,"Jan 15, 2018",Los Angeles Clippers,G,6-1,175,31,2005,12
2017-2018,DeMar DeRozan,East,"Jan 8, 2018",Toronto Raptors,GF,6-6,220,28,2009,8
2017-2018,Stephen Curry,West,"Jan 8, 2018",Golden State Warriors,G,6-2,185,29,2009,8
2017-2018,Bradley Beal,East,"Jan 2, 2018",Washington Wizards,SG,6-4,207,24,2012,5
2017-2018,Lou Williams,West,"Jan 2, 2018",Los Angeles Clippers,G,6-1,175,31,2005,12
2017-2018,DeMar DeRozan,East,"Dec 26, 2017",Toronto Raptors,GF,6-6,220,28,2009,8
2017-2018,Russell Westbrook,West,"Dec 26, 2017",Oklahoma City Thunder,G,6-4,200,29,2008,9
2017-2018,LeBron James,East,"Dec 18, 2017",Cleveland Cavaliers,F,6-9,250,33,2003,14
2017-2018,Chris Paul,West,"Dec 18, 2017",Houston Rockets,PG,6-0,175,32,2005,12
2017-2018,Victor Oladipo,East,"Dec 11, 2017",Indiana Pacers,G,6-3,213,25,2013,4
2017-2018,Kevin Durant,West,"Dec 11, 2017",Golden State Warriors,SF,6-11,240,29,2007,10
2017-2018,LeBron James,East,"Dec 4, 2017",Cleveland Cavaliers,F,6-9,250,33,2003,14
2017-2018,James Harden,West,"Dec 4, 2017",Houston Rockets,SG,6-5,220,28,2009,8
2017-2018,Goran Dragic,East,"Nov 27, 2017",Miami Heat,G,6-4,190,31,2008,9
2017-2018,Anthony Davis,West,"Nov 27, 2017",New Orleans Pelicans,PF,6-10,253,24,2012,5
2017-2018,DeMar DeRozan,East,"Nov 20, 2017",Toronto Raptors,GF,6-6,220,28,2009,8
2017-2018,Karl-Anthony Towns,West,"Nov 20, 2017",Minnesota Timberwolves,C,7-0,248,22,2015,2
2017-2018,Tobias Harris,East,"Nov 13, 2017",Detroit Pistons,F,6-8,226,25,2011,6
2017-2018,Nikola Jokic,West,"Nov 13, 2017",Denver Nuggets,C,6-11,284,23,2014,2
2017-2018,Kristaps Porzingis,East,"Nov 6, 2017",New York Knicks,FC,7-2,240,22,2015,2
2017-2018,James Harden,West,"Nov 6, 2017",Houston Rockets,SG,6-5,220,28,2009,8
2017-2018,Victor Oladipo,East,"Oct 30, 2017",Indiana Pacers,G,6-3,213,25,2013,4
2017-2018,DeMarcus Cousins,West,"Oct 30, 2017",New Orleans Pelicans,C,6-11,270,27,2010,7
2017-2018,Giannis Antetokounmpo,East,"Oct 23, 2017",Milwaukee Bucks,F,6-11,243,23,2013,4
2017-2018,James Harden,West,"Oct 23, 2017",Houston Rockets,SG,6-5,220,28,2009,8
2016-2017,Paul George,East,"Apr 10, 2017",Indiana Pacers,GF,6-8,220,26,2010,6
2016-2017,Russell Westbrook,West,"Apr 10, 2017",Oklahoma City Thunder,G,6-4,200,28,2008,8
2016-2017,Jimmy Butler,East,"Apr 3, 2017",Chicago Bulls,GF,6-7,230,27,2011,5
2016-2017,Stephen Curry,West,"Apr 3, 2017",Golden State Warriors,G,6-2,185,28,2009,7
2016-2017,DeMar DeRozan,East,"Mar 27, 2017",Toronto Raptors,GF,6-6,220,27,2009,7
2016-2017,James Harden,West,"Mar 27, 2017",Houston Rockets,SG,6-5,220,27,2009,7
2016-2017,Hassan Whiteside,East,"Mar 20, 2017",Miami Heat,C,7-0,265,27,2010,4
2016-2017,Damian Lillard,West,"Mar 20, 2017",Portland Trail Blazers,G,6-2,195,26,2012,4
2016-2017,John Wall,East,"Mar 13, 2017",Washington Wizards,PG,6-3,210,26,2010,6
2016-2017,Karl-Anthony Towns,West,"Mar 13, 2017",Minnesota Timberwolves,C,7-0,248,21,2015,1
2016-2017,Kemba Walker,East,"Mar 6, 2017",Charlotte Hornets,G,6-0,184,26,2011,5
2016-2017,Kawhi Leonard,West,"Mar 6, 2017",San Antonio Spurs,F,6-7,225,25,2011,5
2016-2017,LeBron James,East,"Feb 13, 2017",Cleveland Cavaliers,F,6-9,250,32,2003,13
2016-2017,Blake Griffin,West,"Feb 13, 2017",Los Angeles Clippers,PF,6-9,250,27,2009,7
2016-2017,Isaiah Thomas,East,"Feb 6, 2017",Boston Celtics,PG,5-9,185,28,2011,5
2016-2017,Stephen Curry,West,"Feb 6, 2017",Golden State Warriors,G,6-2,185,28,2009,7
2016-2017,Dion Waiters,East,"Jan 30, 2017",Miami Heat,SG,6-4,215,25,2012,4
2016-2017,DeMarcus Cousins,West,"Jan 30, 2017",Sacramento Kings,C,6-11,270,26,2010,6
2016-2017,Joel Embiid,East,"Jan 23, 2017",Philadelphia Sixers,C,7-0,280,22,2014,2
2016-2017,Kawhi Leonard,West,"Jan 23, 2017",San Antonio Spurs,F,6-7,225,25,2011,5
2016-2017,DeMar DeRozan,East,"Jan 16, 2017",Toronto Raptors,GF,6-6,220,27,2009,7
2016-2017,Gordon Hayward,West,"Jan 16, 2017",Utah Jazz,GF,6-7,225,26,2010,6
2016-2017,Jimmy Butler,East,"Jan 9, 2017",Chicago Bulls,GF,6-7,230,27,2011,5
2016-2017,Stephen Curry,West,"Jan 9, 2017",Golden State Warriors,G,6-2,185,28,2009,7
2016-2017,John Wall,East,"Jan 2, 2017",Washington Wizards,PG,6-3,210,26,2010,6
2016-2017,James Harden,West,"Jan 2, 2017",Houston Rockets,SG,6-5,220,27,2009,7
2016-2017,Isaiah Thomas,East,"Dec 26, 2016",Boston Celtics,PG,5-9,185,28,2011,5
2016-2017,Russell Westbrook,West,"Dec 26, 2016",Oklahoma City Thunder,G,6-4,200,28,2008,8
2016-2017,DeMar DeRozan,East,"Dec 19, 2016",Toronto Raptors,GF,6-6,220,27,2009,7
2016-2017,James Harden,West,"Dec 19, 2016",Houston Rockets,SG,6-5,220,27,2009,7
2016-2017,LeBron James,East,"Dec 12, 2016",Cleveland Cavaliers,F,6-9,250,32,2003,13
2016-2017,Marc Gasol,West,"Dec 12, 2016",Memphis Grizzlies,C,7-1,255,32,2007,8
2016-2017,Giannis Antetokounmpo,East,"Dec 5, 2016",Milwaukee Bucks,F,6-11,243,22,2013,3
2016-2017,Russell Westbrook,West,"Dec 5, 2016",Oklahoma City Thunder,G,6-4,200,28,2008,8
2016-2017,Kevin Love,East,"Nov 28, 2016",Cleveland Cavaliers,FC,6-8,251,28,2008,8
2016-2017,Kevin Durant,West,"Nov 28, 2016",Golden State Warriors,SF,6-11,240,28,2007,9
2016-2017,Jimmy Butler,East,"Nov 21, 2016",Chicago Bulls,GF,6-7,230,27,2011,5
2016-2017,Anthony Davis,West,"Nov 21, 2016",New Orleans Pelicans,PF,6-10,253,23,2012,4
2016-2017,DeMar DeRozan,East,"Nov 14, 2016",Toronto Raptors,GF,6-6,220,27,2009,7
2016-2017,James Harden,West,"Nov 14, 2016",Houston Rockets,SG,6-5,220,27,2009,7
2016-2017,LeBron James,East,"Nov 7, 2016",Cleveland Cavaliers,F,6-9,250,32,2003,13
2016-2017,George Hill,West,"Nov 7, 2016",Utah Jazz,G,6-3,188,30,2008,8
2016-2017,LeBron James,East,"Oct 31, 2016",Cleveland Cavaliers,F,6-9,250,32,2003,13
2016-2017,Russell Westbrook,West,"Oct 31, 2016",Oklahoma City Thunder,G,6-4,200,28,2008,8
2015-2016,Paul Millsap,East,"Apr 11, 2016",Atlanta Hawks,FC,6-7,250,31,2006,9
2015-2016,Karl-Anthony Towns,West,"Apr 11, 2016",Minnesota Timberwolves,C,7-0,248,20,2015,0
2015-2016,LeBron James,East,"Apr 4, 2016",Cleveland Cavaliers,F,6-9,250,31,2003,12
2015-2016,J.J. Barea,West,"Apr 4, 2016",Dallas Mavericks,G,5-10,180,31,2006,9
2015-2016,LeBron James,East,"Mar 28, 2016",Cleveland Cavaliers,F,6-9,250,31,2003,12
2015-2016,Klay Thompson,West,"Mar 28, 2016",Golden State Warriors,G,6-5,220,26,2011,4
2015-2016,Kyle Lowry,East,"Mar 21, 2016",Toronto Raptors,PG,6-0,196,29,2006,9
2015-2016,Kevin Durant,West,"Mar 21, 2016",Oklahoma City Thunder,SF,6-11,240,27,2007,8
2015-2016,Kemba Walker,East,"Mar 14, 2016",Charlotte Hornets,G,6-0,184,25,2011,4
2015-2016,Stephen Curry,West,"Mar 14, 2016",Golden State Warriors,G,6-2,185,27,2009,6
2015-2016,LeBron James,East,"Mar 7, 2016",Cleveland Cavaliers,F,6-9,250,31,2003,12
2015-2016,Kawhi Leonard,West,"Mar 7, 2016",San Antonio Spurs,F,6-7,225,24,2011,4
2015-2016,Kyle Lowry,East,"Feb 29, 2016",Toronto Raptors,PG,6-0,196,29,2006,9
2015-2016,Stephen Curry,West,"Feb 29, 2016",Golden State Warriors,G,6-2,185,27,2009,6
2015-2016,Isaiah Thomas,East,"Feb 8, 2016",Boston Celtics,PG,5-9,185,27,2011,4
2015-2016,LaMarcus Aldridge,West,"Feb 8, 2016",San Antonio Spurs,FC,6-11,265,30,2006,9
2015-2016,Dwyane Wade,East,"Feb 1, 2016",Miami Heat,SG,6-4,220,34,2003,12
2015-2016,Kevin Durant,West,"Feb 1, 2016",Oklahoma City Thunder,SF,6-11,240,27,2007,8
2015-2016,Kemba Walker,East,"Jan 25, 2016",Charlotte Hornets,G,6-0,184,25,2011,4
2015-2016,DeMarcus Cousins,West,"Jan 25, 2016",Sacramento Kings,C,6-11,270,25,2010,5
2015-2016,John Wall,East,"Jan 18, 2016",Washington Wizards,PG,6-3,210,25,2010,5
2015-2016,Kevin Durant,West,"Jan 18, 2016",Oklahoma City Thunder,SF,6-11,240,27,2007,8
2015-2016,LeBron James,East,"Jan 11, 2016",Cleveland Cavaliers,F,6-9,250,31,2003,12
2015-2016,Chris Paul,West,"Jan 11, 2016",Los Angeles Clippers,PG,6-0,175,30,2005,10
2015-2016,Brook Lopez,East,"Jan 4, 2016",Brooklyn Nets,C,7-1,282,27,2008,7
2015-2016,Draymond Green,West,"Jan 4, 2016",Golden State Warriors,F,6-6,230,25,2012,3
2015-2016,Marcin Gortat,East,"Dec 28, 2015",Washington Wizards,FC,6-11,240,32,2005,8
2015-2016,Russell Westbrook,West,"Dec 28, 2015",Oklahoma City Thunder,G,6-4,200,27,2008,7
2015-2016,Reggie Jackson,East,"Dec 21, 2015",Detroit Pistons,G,6-2,208,25,2011,4
2015-2016,Kawhi Leonard,West,"Dec 21, 2015",San Antonio Spurs,F,6-7,225,24,2011,4
2015-2016,DeMar DeRozan,East,"Dec 14, 2015",Toronto Raptors,GF,6-6,220,26,2009,6
2015-2016,Kevin Durant,West,"Dec 14, 2015",Oklahoma City Thunder,SF,6-11,240,27,2007,8
2015-2016,Reggie Jackson,East,"Dec 7, 2015",Detroit Pistons,G,6-2,208,25,2011,4
2015-2016,Stephen Curry,West,"Dec 7, 2015",Golden State Warriors,G,6-2,185,27,2009,6
2015-2016,Paul George,East,"Nov 30, 2015",Indiana Pacers,GF,6-8,220,25,2010,5
2015-2016,Kevin Durant,West,"Nov 30, 2015",Oklahoma City Thunder,SF,6-11,240,27,2007,8
2015-2016,LeBron James,East,"Nov 23, 2015",Cleveland Cavaliers,F,6-9,250,31,2003,12
2015-2016,Stephen Curry,West,"Nov 23, 2015",Golden State Warriors,G,6-2,185,27,2009,6
2015-2016,Nicolas Batum,East,"Nov 16, 2015",Charlotte Hornets,F,6-8,230,27,2008,7
2015-2016,DeMarcus Cousins,West,"Nov 16, 2015",Sacramento Kings,C,6-11,270,25,2010,5
2015-2016,Andre Drummond,East,"Nov 9, 2015",Detroit Pistons,C,6-11,279,22,2012,3
2015-2016,James Harden,West,"Nov 9, 2015",Houston Rockets,SG,6-5,220,26,2009,6
2015-2016,Andre Drummond,East,"Nov 2, 2015",Detroit Pistons,C,6-11,279,22,2012,3
2015-2016,Stephen Curry,West,"Nov 2, 2015",Golden State Warriors,G,6-2,185,27,2009,6
2014-2015,Isaiah Thomas,East,"Apr 13, 2015",Boston Celtics,PG,5-9,185,26,2011,3
2014-2015,Tim Duncan,West,"Apr 13, 2015",San Antonio Spurs,FC,6-11,250,38,1997,17
2014-2015,Brook Lopez,East,"Apr 6, 2015",Brooklyn Nets,C,7-1,282,26,2008,6
2014-2015,James Harden,West,"Apr 6, 2015",Houston Rockets,SG,6-5,220,25,2009,5
2014-2015,Brook Lopez,East,"Mar 30, 2015",Brooklyn Nets,C,7-1,282,26,2008,6
2014-2015,Stephen Curry,West,"Mar 30, 2015",Golden State Warriors,G,6-2,185,26,2009,5
2014-2015,Dwyane Wade,East,"Mar 23, 2015",Miami Heat,SG,6-4,220,33,2003,11
2014-2015,Chris Paul,West,"Mar 23, 2015",Los Angeles Clippers,PG,6-0,175,29,2005,9
2014-2015,Kyrie Irving,East,"Mar 16, 2015",Cleveland Cavaliers,G,6-2,195,22,2011,3
2014-2015,Anthony Davis,West,"Mar 16, 2015",New Orleans Pelicans,PF,6-10,253,21,2012,2
2014-2015,Mo Williams,East,"Mar 9, 2015",Charlotte Hornets,G,6-1,198,32,2003,11
2014-2015,Russell Westbrook,West,"Mar 9, 2015",Oklahoma City Thunder,G,6-4,200,26,2008,6
2014-2015,Isaiah Thomas,East,"Mar 2, 2015",Boston Celtics,PG,5-9,185,26,2011,3
2014-2015,Damian Lillard,West,"Mar 2, 2015",Portland Trail Blazers,G,6-2,195,24,2012,2
2014-2015,Giannis Antetokounmpo,East,"Feb 9, 2015",Milwaukee Bucks,F,6-11,243,20,2013,1
2014-2015,Russell Westbrook,West,"Feb 9, 2015",Oklahoma City Thunder,G,6-4,200,26,2008,6
2014-2015,Kyrie Irving,East,"Feb 2, 2015",Cleveland Cavaliers,G,6-2,195,22,2011,3
2014-2015,Zach Randolph,West,"Feb 2, 2015",Memphis Grizzlies,PF,6-9,260,33,2001,13
2014-2015,LeBron James,East,"Jan 26, 2015",Cleveland Cavaliers,F,6-9,250,30,2003,11
2014-2015,Klay Thompson,West,"Jan 26, 2015",Golden State Warriors,G,6-5,220,25,2011,3
2014-2015,Al Horford,East,"Jan 19, 2015",Atlanta Hawks,FC,6-9,240,28,2007,7
2014-2015,Mo Williams,West,"Jan 19, 2015",Minnesota Timberwolves,G,6-1,198,32,2003,11
2014-2015,Kemba Walker,East,"Jan 12, 2015",Charlotte Hornets,G,6-0,184,24,2011,3
2014-2015,Klay Thompson,West,"Jan 12, 2015",Golden State Warriors,G,6-5,220,25,2011,3
2014-2015,Jeff Teague,East,"Jan 5, 2015",Atlanta Hawks,PG,6-3,195,26,2009,5
2014-2015,Kevin Durant,West,"Jan 5, 2015",Oklahoma City Thunder,SF,6-11,240,26,2007,7
2014-2015,Jimmy Butler,East,"Dec 29, 2014",Chicago Bulls,GF,6-7,230,25,2011,3
2014-2015,James Harden,West,"Dec 29, 2014",Houston Rockets,SG,6-5,220,25,2009,5
2014-2015,Al Horford,East,"Dec 22, 2014",Atlanta Hawks,FC,6-9,240,28,2007,7
2014-2015,LaMarcus Aldridge,West,"Dec 22, 2014",Portland Trail Blazers,FC,6-11,265,29,2006,8
2014-2015,John Wall,East,"Dec 15, 2014",Washington Wizards,PG,6-3,210,24,2010,4
2014-2015,James Harden,West,"Dec 15, 2014",Houston Rockets,SG,6-5,220,25,2009,5
2014-2015,Kyle Lowry,East,"Dec 8, 2014",Toronto Raptors,PG,6-0,196,28,2006,8
2014-2015,LaMarcus Aldridge,West,"Dec 8, 2014",Portland Trail Blazers,FC,6-11,265,29,2006,8
2014-2015,LeBron James,East,"Dec 1, 2014",Cleveland Cavaliers,F,6-9,250,30,2003,11
2014-2015,Blake Griffin,West,"Dec 1, 2014",Los Angeles Clippers,PF,6-9,250,25,2009,5
2014-2015,Lou Williams,East,"Nov 24, 2014",Toronto Raptors,G,6-1,175,28,2005,9
2014-2015,DeMarcus Cousins,West,"Nov 24, 2014",Sacramento Kings,C,6-11,270,24,2010,4
2014-2015,LeBron James,East,"Nov 17, 2014",Cleveland Cavaliers,F,6-9,250,30,2003,11
2014-2015,Damian Lillard,West,"Nov 17, 2014",Portland Trail Blazers,G,6-2,195,24,2012,2
2014-2015,Deron Williams,East,"Nov 10, 2014",Brooklyn Nets,PG,6-3,200,30,2005,9
2014-2015,Stephen Curry,West,"Nov 10, 2014",Golden State Warriors,G,6-2,185,26,2009,5
2014-2015,Chris Bosh,East,"Nov 3, 2014",Miami Heat,PF,6-11,235,30,2003,11
2014-2015,Klay Thompson,West,"Nov 3, 2014",Golden State Warriors,G,6-5,220,25,2011,3
2013-2014,Jeff Teague,East,"Apr 14, 2014",Atlanta Hawks,PG,6-3,195,25,2009,4
2013-2014,Monta Ellis,West,"Apr 14, 2014",Dallas Mavericks,G,6-3,185,28,2005,8
2013-2014,Al Jefferson,East,"Apr 7, 2014",Charlotte Bobcats,FC,6-10,289,29,2004,9
2013-2014,Dirk Nowitzki,West,"Apr 7, 2014",Dallas Mavericks,PF,7-0,245,35,1998,15
2013-2014,Nikola Vucevic,East,"Mar 31, 2014",Orlando Magic,PF,6-10,260,23,2011,2
2013-2014,Tim Duncan,West,"Mar 31, 2014",San Antonio Spurs,FC,6-11,250,37,1997,16
2013-2014,Joe Johnson,East,"Mar 24, 2014",Brooklyn Nets,SG,6-7,240,32,2001,12
2013-2014,Kevin Durant,West,"Mar 24, 2014",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,Al Jefferson,East,"Mar 17, 2014",Charlotte Bobcats,FC,6-10,289,29,2004,9
2013-2014,Blake Griffin,West,"Mar 17, 2014",Los Angeles Clippers,PF,6-9,250,24,2009,4
2013-2014,Carmelo Anthony,East,"Mar 10, 2014",New York Knicks,F,6-8,240,29,2003,10
2013-2014,James Harden,West,"Mar 10, 2014",Houston Rockets,SG,6-5,220,24,2009,4
2013-2014,John Wall,East,"Mar 3, 2014",Washington Wizards,PG,6-3,210,23,2010,3
2013-2014,James Harden,West,"Mar 3, 2014",Houston Rockets,SG,6-5,220,24,2009,4
2013-2014,Kemba Walker,East,"Feb 24, 2014",Charlotte Bobcats,G,6-0,184,23,2011,2
2013-2014,Kevin Love,West,"Feb 24, 2014",Minnesota Timberwolves,FC,6-8,251,25,2008,5
2013-2014,Jared Sullinger,East,"Feb 10, 2014",Boston Celtics,C,6-9,260,21,2012,1
2013-2014,Kevin Durant,West,"Feb 10, 2014",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,Kyle Lowry,East,"Feb 3, 2014",Toronto Raptors,PG,6-0,196,27,2006,7
2013-2014,Goran Dragic,West,"Feb 3, 2014",Phoenix Suns,G,6-4,190,27,2008,5
2013-2014,Paul Millsap,East,"Jan 27, 2014",Atlanta Hawks,FC,6-7,250,29,2006,7
2013-2014,Kevin Durant,West,"Jan 27, 2014",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,Paul George,East,"Jan 20, 2014",Indiana Pacers,GF,6-8,220,23,2010,3
2013-2014,Kevin Durant,West,"Jan 20, 2014",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,Carmelo Anthony,East,"Jan 13, 2014",New York Knicks,F,6-8,240,29,2003,10
2013-2014,DeMarcus Cousins,West,"Jan 13, 2014",Sacramento Kings,C,6-11,270,23,2010,3
2013-2014,Thaddeus Young,East,"Jan 6, 2014",Philadelphia Sixers,F,6-8,225,25,2007,6
2013-2014,David Lee,West,"Jan 6, 2014",Golden State Warriors,FC,6-9,245,30,2005,8
2013-2014,Chris Bosh,East,"Dec 30, 2013",Miami Heat,PF,6-11,235,29,2003,10
2013-2014,Kevin Durant,West,"Dec 30, 2013",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,Dwyane Wade,East,"Dec 23, 2013",Miami Heat,SG,6-4,220,32,2003,10
2013-2014,Blake Griffin,West,"Dec 23, 2013",Los Angeles Clippers,PF,6-9,250,24,2009,4
2013-2014,Kyrie Irving,East,"Dec 16, 2013",Cleveland Cavaliers,G,6-2,195,21,2011,2
2013-2014,LaMarcus Aldridge,West,"Dec 16, 2013",Portland Trail Blazers,FC,6-11,265,28,2006,7
2013-2014,Jordan Crawford,East,"Dec 9, 2013",Boston Celtics,G,6-5,195,25,2010,3
2013-2014,LaMarcus Aldridge,West,"Dec 9, 2013",Portland Trail Blazers,FC,6-11,265,28,2006,7
2013-2014,LeBron James,East,"Dec 2, 2013",Miami Heat,F,6-9,250,29,2003,10
2013-2014,Kevin Durant,West,"Dec 2, 2013",Oklahoma City Thunder,SF,6-11,240,25,2007,6
2013-2014,John Wall,East,"Nov 25, 2013",Washington Wizards,PG,6-3,210,23,2010,3
2013-2014,LaMarcus Aldridge,West,"Nov 25, 2013",Portland Trail Blazers,FC,6-11,265,28,2006,7
2013-2014,LeBron James,East,"Nov 18, 2013",Miami Heat,F,6-9,250,29,2003,10
2013-2014,Blake Griffin,West,"Nov 18, 2013",Los Angeles Clippers,PF,6-9,250,24,2009,4
2013-2014,Paul George,East,"Nov 11, 2013",Indiana Pacers,GF,6-8,220,23,2010,3
2013-2014,Markieff Morris,West,"Nov 11, 2013",Phoenix Suns,PF,6-9,245,24,2011,2
2013-2014,Michael Carter-Williams,East,"Nov 4, 2013",Philadelphia Sixers,PG,6-5,190,22,2013,0
2013-2014,Kevin Love,West,"Nov 4, 2013",Minnesota Timberwolves,FC,6-8,251,25,2008,5
2012-2013,Carmelo Anthony,East,"Apr 15, 2013",New York Knicks,F,6-8,240,28,2003,9
2012-2013,Kobe Bryant,West,"Apr 15, 2013",Los Angeles Lakers,SG,6-6,212,34,1996,16
2012-2013,Carmelo Anthony,East,"Apr 8, 2013",New York Knicks,F,6-8,240,28,2003,9
2012-2013,Nikola Pekovic,West,"Apr 8, 2013",Minnesota Timberwolves,PF,6-11,307,27,2008,2
2012-2013,J.R. Smith,East,"Apr 1, 2013",New York Knicks,SG,6-6,225,27,2004,8
2012-2013,Al Jefferson,West,"Apr 1, 2013",Utah Jazz,FC,6-10,289,28,2004,8
2012-2013,LeBron James,East,"Mar 25, 2013",Miami Heat,F,6-9,250,28,2003,9
2012-2013,James Harden,West,"Mar 25, 2013",Houston Rockets,SG,6-5,220,23,2009,3
2012-2013,John Wall,East,"Mar 18, 2013",Washington Wizards,PG,6-3,210,22,2010,2
2012-2013,LaMarcus Aldridge,West,"Mar 18, 2013",Portland Trail Blazers,FC,6-11,265,27,2006,6
2012-2013,Dwyane Wade,East,"Mar 11, 2013",Miami Heat,SG,6-4,220,31,2003,9
2012-2013,Kobe Bryant,West,"Mar 11, 2013",Los Angeles Lakers,SG,6-6,212,34,1996,16
2012-2013,Monta Ellis,East,"Mar 4, 2013",Milwaukee Bucks,G,6-3,185,27,2005,7
2012-2013,Ty Lawson,West,"Mar 4, 2013",Denver Nuggets,PG,5-11,195,25,2009,3
2012-2013,LeBron James,East,"Feb 25, 2013",Miami Heat,F,6-9,250,28,2003,9
2012-2013,Kobe Bryant,West,"Feb 25, 2013",Los Angeles Lakers,SG,6-6,212,34,1996,16
2012-2013,LeBron James,East,"Feb 11, 2013",Miami Heat,F,6-9,250,28,2003,9
2012-2013,Russell Westbrook,West,"Feb 11, 2013",Oklahoma City Thunder,G,6-4,200,24,2008,4
2012-2013,Nate Robinson,East,"Feb 4, 2013",Chicago Bulls,G,5-9,180,28,2005,7
2012-2013,David Lee,West,"Feb 4, 2013",Golden State Warriors,FC,6-9,245,29,2005,7
2012-2013,Kyrie Irving,East,"Jan 28, 2013",Cleveland Cavaliers,G,6-2,195,20,2011,1
2012-2013,Tony Parker,West,"Jan 28, 2013",San Antonio Spurs,G,6-2,185,30,2001,11
2012-2013,Carlos Boozer,East,"Jan 21, 2013",Chicago Bulls,PF,6-9,266,31,2002,10
2012-2013,Kevin Durant,West,"Jan 21, 2013",Oklahoma City Thunder,SF,6-11,240,24,2007,5
2012-2013,Brandon Jennings,East,"Jan 14, 2013",Milwaukee Bucks,G,6-1,170,23,2009,3
2012-2013,Kevin Durant,West,"Jan 14, 2013",Oklahoma City Thunder,SF,6-11,240,24,2007,5
2012-2013,Carmelo Anthony,East,"Jan 7, 2013",New York Knicks,F,6-8,240,28,2003,9
2012-2013,James Harden,West,"Jan 7, 2013",Houston Rockets,SG,6-5,220,23,2009,3
2012-2013,Monta Ellis,East,"Dec 31, 2012",Milwaukee Bucks,G,6-3,185,27,2005,7
2012-2013,Greivis Vasquez,West,"Dec 31, 2012",New Orleans Hornets,G,6-6,217,26,2010,2
2012-2013,LeBron James,East,"Dec 24, 2012",Miami Heat,F,6-9,250,28,2003,9
2012-2013,Chris Paul,West,"Dec 24, 2012",Los Angeles Clippers,PG,6-0,175,27,2005,7
2012-2013,Paul George,East,"Dec 17, 2012",Indiana Pacers,GF,6-8,220,22,2010,2
2012-2013,David Lee,West,"Dec 17, 2012",Golden State Warriors,FC,6-9,245,29,2005,7
2012-2013,Josh Smith,East,"Dec 10, 2012",Atlanta Hawks,PF,6-9,225,27,2004,8
2012-2013,Blake Griffin,West,"Dec 10, 2012",Los Angeles Clippers,PF,6-9,250,23,2009,3
